sector, process, subprocess, phase, activity
GOVERNMENT PROCESSES, STRATEGIC PLANNING, DEFINITION OF BUSINESS MODEL ,,
GOVERNMENT PROCESSES, STRATEGIC PLANNING, ANALYSIS OF THE RESULTS ACHIEVED,
GOVERNMENT PROCESSES, APPROVAL OF NEW PRODUCTS AND SERVICES, STARTING OF NEW ACTIVITIES, INSERTION IN NEW MARKETS, IDENTIFICATION AND EVALUATION OF RISKS
GOVERNMENT PROCESSES, APPROVAL OF NEW PRODUCTS AND SERVICES, STARTING OF NEW ACTIVITIES, ENTERING NEW MARKETS, DRAFTING THE SUMMARY REPORT AND PLANNING OF THE REALIZED PLANNING
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF CAPITAL ADEQUACY, IDENTIFICATION OF RELEVANT RISKS ,,
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF CAPITAL ADEQUACY, MEASUREMENT / EVALUATION OF RELEVANT RISKS, MEASUREMENT OF CURRENT INTERNAL CAPITALS,
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF CAPITAL ADEQUACY, MEASUREMENT / EVALUATION OF RELEVANT RISKS, ANALYSIS OF THE RISK EXPOSURE OBJECTIVES,
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF CAPITAL ADEQUACY, MEASUREMENT / EVALUATION OF RELEVANT RISKS, ESTIMATION OF POTENTIAL LOSS VALUES,
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF CAPITAL ADEQUACY, MEASUREMENT / EVALUATION OF RELEVANT RISKS, EVALUATION OF CAPITAL SUPPLY,
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF CAPITAL ADEQUACY, MEASUREMENT / EVALUATION OF RELEVANT RISKS, STRESS TESTING,
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF THE ADEQUENANCE OF CAPITAL, MEASURING / EVALUATION OF THE RELEVANT RISKS, DETERMINATION OF THE INTERNAL CAPITAL AND EXPECTED RELATIVE COMPARISON WITH THE CAPITAL PERSPECT OF CAPITAL,
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF CAPITAL ADEQUACY, MEASUREMENT / EVALUATION OF RELEVANT RISKS, CONFIRMATION OF THE RISK OBJECTIVES AND DETERMINATION OF OPERATIONAL LIMITS
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF CAPITAL ADEQUACY, RISK MONITORING, CONTROL OF THE RESPECT OF OPERATIONAL LIMITS
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF CAPITAL ADEQUACY, RISK MITIGATION, DEFINITION OF RISK MITIGATION ACTIONS
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF CAPITAL ADEQUACY, RISK MITIGATION, ACTIVATION OF MITIGATION ACTIONS IN CASE OF EXCEPTION OF OPERATIONAL LIMITS
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF CAPITAL ADEQUACY, REPORTING,
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF CAPITAL ADEQUACY, RISK INTEGRATION,
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF THE ADEQUATE OF CAPITAL, RECONCILIATION, COMPARISON BETWEEN OWN FUNDS AND TOTAL INTERNAL CAPITAL
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF THE ADEQUATE OF CAPITAL, RECONCILIATION, DEFINITION OF OVERALL CAPITAL
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF THE ADEQUATE OF CAPITAL, RECONCILIATION, DEFINITION OF CAPITAL
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF THE SUITABILITY OF CAPITAL, SELF-ASSESSMENT,
GOVERNMENT PROCESSES, GOVERNMENT - RISK MANAGEMENT AND EVALUATION OF THE ADEQUATE OF THE CAPITAL, ICAAP REPORTING DRAFT,
GOVERNMENT PROCESSES, DEVELOPMENT AND VALIDATION OF THE INTERNAL RATING SYSTEM (CREDIT), DEVELOPMENT OF THE INTERNAL RATING SYSTEM, DEFINITION OF THE ARCHITECTURE OF THE INTERNAL RATING MODEL
GOVERNMENT PROCESSES, DEVELOPMENT AND VALIDATION OF THE INTERNAL RATING SYSTEM (CREDIT), DEVELOPMENT OF THE INTERNAL RATING SYSTEM, IDENTIFICATION OF FOOD SOURCES AND CONSTRUCTION OF DATA BASE
GOVERNMENT PROCESSES, DEVELOPMENT AND VALIDATION OF THE INTERNAL RATING SYSTEM (CREDIT), DEVELOPMENT OF THE INTERNAL RATING SYSTEM, DEFINITION OF THE TRAINING SET
GOVERNMENT PROCESSES, DEVELOPMENT AND VALIDATION OF THE INTERNAL RATING SYSTEM (CREDIT), DEVELOPMENT OF THE INTERNAL RATING SYSTEM, CONSTRUCTION OF BASELINE RATING
GOVERNMENT PROCESSES, DEVELOPMENT AND VALIDATION OF THE INTERNAL RATING SYSTEM (CREDIT), DEVELOPMENT OF THE INTERNAL RATING SYSTEM, DEFINITION OF THE QUALITY QUESTIONNAIRE
GOVERNMENT PROCESSES, DEVELOPMENT AND VALIDATION OF THE INTERNAL RATING SYSTEM (CREDIT), DEVELOPMENT OF THE INTERNAL RATING SYSTEM, INTEGRATION OF THE QUALITY QUESTIONNAIRE WITH BASELINE RATING
GOVERNMENT PROCESSES, DEVELOPMENT AND VALIDATION OF THE INTERNAL RATING SYSTEM (CREDIT), DEVELOPMENT OF THE INTERNAL RATING SYSTEM, DEFINITION OF THE MASTER SCALE OF RATING AND QUANTIFICATION OF THE PD
GOVERNMENT PROCESSES, DEVELOPMENT AND VALIDATION OF THE INTERNAL RATING SYSTEM (CREDIT), DEVELOPMENT OF THE INTERNAL RATING SYSTEM, DEFINITION OF OVERIDING LOGICS
GOVERNMENT PROCESSES, DEVELOPMENT AND VALIDATION OF THE INTERNAL RATING SYSTEM (CREDIT), INTERNAL RATING SYSTEM VALIDATION, DEFINITION OF THE VALIDATION SET
GOVERNMENT PROCESSES, DEVELOPMENT AND VALIDATION OF THE INTERNAL RATING SYSTEM (CREDIT), VALIDATION OF THE INTERNAL RATING SYSTEM, IDENTIFICATION AND EXECUTION OF QUALITATIVE VALIDATION TESTS
GOVERNMENT PROCESSES, DEVELOPMENT AND VALIDATION OF THE INTERNAL RATING SYSTEM (CREDIT), VALIDATION OF THE INTERNAL RATING SYSTEM, IDENTIFICATION AND EXECUTION OF QUANTITATIVE VALIDATION TESTS (BACKTESTING)
GOVERNMENT PROCESSES, DEVELOPMENT AND VALIDATION OF THE INTERNAL RATING SYSTEM (CREDIT), VALUE OF THE INTERNAL RATING SYSTEM, EXECUTION OF INTERNAL USE TESTS
GOVERNMENT PROCESSES, VERIFICATION OF THE CORRECT CREDIT MONITORING, DEFINITION OF THE VERIFICATION METHODOLOGY,
GOVERNMENT PROCESSES, VERIFICATION OF THE CORRECT MONITORING OF THE CREDIT, EXECUTION OF THE VERIFICATION,
GOVERNMENT PROCESSES, VERIFICATION OF THE CORRECT CREDIT MONITORING, SHARING OF THE RESULTS OF THE VERIFICATION WITH THE ORGANIZATIONAL UNIT THAT MAKES THE CREDIT MONITORING,
GOVERNMENT PROCESSES, VERIFICATION OF THE CORRECT CREDIT MONITORING, FOLLOW UP ,,
GOVERNMENT PROCESSES, MANAGEMENT CONTROL, DEFINITION OF MANAGEMENT CONTROL MODEL, DEFINITION OF MONITORING SIZES
GOVERNMENT PROCESSES, MANAGEMENT CONTROL, DEFINITION OF MANAGEMENT CONTROL MODEL, DEFINITIONS OF COMMUNICATION TOWARDS THE INTERNAL STRUCTURE
GOVERNMENT PROCESSES, MANAGEMENT CONTROL, DEFINITION MANAGEMENT CONTROL MODEL, REPORTING DEFINITION, DASHBOARDS AND INDICATORS
GOVERNMENT PROCESSES, MANAGEMENT CONTROL, DEFINITION MANAGEMENT CONTROL MODEL, PROCESS CONTROL MODELING
GOVERNMENT PROCESSES, MANAGEMENT CONTROL, MONITORING REACHING OBJECTIVES, DATA COLLECTION AND CONSOLIDATION
GOVERNMENT PROCESSES, MANAGEMENT CONTROL, MONITORING REACHING OBJECTIVES, MANAGEMENT CONTROL MANAGEMENT PRODUCTION
GOVERNMENT PROCESSES, MANAGEMENT CONTROL, MONITORING REACHING OBJECTIVES, SUPPLYING DIRECTIONAL DASHBOARDS
GOVERNMENT PROCESSES, MANAGEMENT CONTROL, MONITORING REACHING OBJECTIVES, MONITORING INDICATORS
GOVERNMENT PROCESSES, MANAGEMENT CONTROL, MONITORING REACHING OBJECTIVES, TRANSITIONAL ANALYSIS
GOVERNMENT PROCESSES, MANAGEMENT CONTROL, MONITORING REACHING OBJECTIVES, IDENTIFICATION OF CORRECTIVE ACTIONS
GOVERNMENT PROCESSES, MANAGEMENT OF THIRD LEVEL CONTROLS, IDENTIFICATION OF PROCESSES TO BE UNDER REVIEW AND EDIT OF THE AUDIT PLAN,
GOVERNMENT PROCESSES, MANAGEMENT OF THIRD LEVEL CONTROLS, DEFINITION OF THE METHODOLOGY OF ASSESSMENT OF COMPLETENESS AND ADEQUACY OF COMPANY PROCESSES,
GOVERNMENT PROCESSES, MANAGEMENT OF THIRD LEVEL CONTROLS, DEFINITION OF THE METHODOLOGY THROUGH THE FUNCTIONAL AND RELIABILITY CHECKS OF THE COMPANY PROCESSES
GOVERNMENT PROCESSES, MANAGEMENT OF THIRD LEVEL CONTROLS, ASSESSMENT OF THE COMPLETENESS AND ADAPTATION OF THE COMPANY PROCESSES, IDENTIFICATION OF PROCESSES TO BE SUBMITTED TO ASSESSMENT OF COMPLETENESS AND ADEQUACY
GOVERNMENT PROCESSES, MANAGEMENT OF THIRD LEVEL CONTROLS, ASSESSMENT OF COMPLETENESS AND ADAPTINESS OF COMPANY PROCESSES, PLANNING OF ACTIVITIES
GOVERNMENT PROCESSES, MANAGEMENT OF THIRD LEVEL CONTROLS, ASSESSMENT OF THE COMPLETENESS AND ADAPTATION OF COMPANY PROCESSES, ASSESSMENT OF COMPLETENESS AND ADEQUACY OF IDENTIFIED PROCESSES
GOVERNMENT PROCESSES, MANAGEMENT OF THIRD LEVEL CONTROLS, EVALUATION OF THE COMPLETENESS AND ADAPTINESS OF THE COMPANY PROCESSES, DRAWING OF THE SUMMARY REPORT ON THE OUTCOMES OF THE EVALUATION AND SHARING WITH THE ORGANIZATIONAL UNITS INTERESTED (PROCESS OWNER)
GOVERNMENT PROCESSES, MANAGEMENT OF THIRD LEVEL CONTROLS, EVALUATION OF THE COMPLETENESS AND ADAPTATION OF COMPANY PROCESSES, PERIODIC FOLLOW UP
GOVERNMENT PROCESSES, MANAGEMENT OF THIRD LEVEL CONTROLS, CHECKING THE FUNCTIONALITY AND RELIABILITY OF COMPANY PROCESSES, IDENTIFICATION OF PROCESSES TO BE SUBSCRIBED TO OPERATIONAL CHECK AND RELIABILITY
GOVERNMENT PROCESSES, MANAGEMENT OF THIRD LEVEL CONTROLS, CHECKING THE FUNCTIONALITY AND RELIABILITY OF BUSINESS PROCESSES, PLANNING OF ACTIVITIES
GOVERNMENT PROCESSES, MANAGEMENT OF THIRD LEVEL CONTROLS, CHECKING THE FUNCTIONALITY AND RELIABILITY OF COMPANY PROCESSES, ASSESSMENT OF COMPLETENESS AND ADEQUACY OF IDENTIFIED PROCESSES
GOVERNMENT PROCESSES, MANAGEMENT OF THIRD LEVEL CONTROLS, CHECKING THE FUNCTIONALITY AND RELIABILITY OF COMPANY PROCESSES, DRAWING THE SUMMARY REPORT ON THE ASSESSMENT OF THE ASSESSMENT AND SHARING WITH THE ORGANIZATIONAL UNITS INTERESTED (PROCESS OWNER)
GOVERNMENT PROCESSES, MANAGEMENT OF THIRD LEVEL CONTROLS, CHECKING THE FUNCTIONALITY AND RELIABILITY OF COMPANY PROCESSES, PERIODIC FOLLOW UP
GOVERNMENT PROCESSES, MANAGEMENT OF THIRD LEVEL CONTROLS, REPORTING ON INTERNAL CONTROLS TO HIGH DIRECTION,
GOVERNMENT PROCESSES, EXTERNAL RELATIONS, PREPARATION OF THE SOCIAL REPORT
GOVERNMENT PROCESSES, EXTERNAL RELATIONS, MANAGEMENT OF THE COMPANY IMAGE,
GOVERNMENT PROCESSES, EXTERNAL RELATIONS, INSTITUTIONAL PROMOTION ACTIVITIES,
GOVERNMENT PROCESSES, INTERNAL MANAGEMENT AND EXTERNAL COMMUNICATION OF OBLIGATORY AND / OR PRICE SENSITIVE INFORMATION, IDENTIFICATION OF CONFIDENTIAL INFORMATION AND CLASSIFICATION OF THE SAME AS A PRICE SENSITIVE,
GOVERNMENT PROCESSES, INTERNAL MANAGEMENT AND EXTERNAL COMMUNICATION OF MANDATORY INFORMATION AND / OR PRICE SENSITIVE, COMMUNICATION OF INFORMATION TO THE PUBLIC, COMMUNICATION OF MANDATORY INFORMATION
GOVERNMENT PROCESSES, INTERNAL MANAGEMENT AND EXTERNAL COMMUNICATION OF INFORMATION REQUIRED AND / OR PRICE SENSITIVE, COMMUNICATION OF INFORMATION TO THE PUBLIC, COMMUNICATION OF PRICE SENSITIVE INFORMATION
GOVERNMENT PROCESSES, INTERNAL MANAGEMENT AND EXTERNAL COMMUNICATION OF OBLIGATORY INFORMATION AND / OR PRICE SENSITIVE, COMMUNICATION OF INFORMATION TO THE PUBLIC, MEETINGS WITH THE FINANCIAL COMMUNITY
GOVERNMENT PROCESSES, INTERNAL MANAGEMENT AND EXTERNAL COMMUNICATION OF INFORMATION REQUIRED AND / OR PRICE SENSITIVE, ADMINISTRATION OF PRIVILEGED INFORMATION, PROCESSING AND CIRCULATION OF CONFIDENTIAL INFORMATION
GOVERNMENT PROCESSES, INTERNAL MANAGEMENT AND EXTERNAL COMMUNICATION OF INFORMATION REQUIRED AND / OR PRICE SENSITIVE, ADMINISTRATION OF PRIVILEGED INFORMATION, MANAGEMENT OF NON-COMPLIANCE WITH RESPECT OF THE CONFIDENTIALITY OBLIGATION
GOVERNMENT PROCESSES, INTERNAL MANAGEMENT AND EXTERNAL COMMUNICATION OF OBLIGATORY INFORMATION AND / OR PRICE SENSITIVE, ADMINISTRATION OF PRIVILEGED INFORMATION, MANAGEMENT OF RUMORS
GOVERNMENT PROCESSES, INTERNAL COMMUNICATION, DEFINITION OF THE INFORMATION NEEDS OF THE INTERNAL STRUCTURE,
GOVERNMENT PROCESSES, INTERNAL COMMUNICATION, MANAGEMENT OF COMMUNICATION TOOLS TOWARDS THE INTERNAL STRUCTURE,
GOVERNMENT PROCESSES, MANAGEMENT OF THE RISK OF NON-COMPLIANCE WITH THE RULES, IDENTIFICATION OF APPLICABLE LAW,
GOVERNMENT PROCESSES, RISK MANAGEMENT OF NON-CONFORMITY TO RULES, ASSESSMENT, ASSESSMENT OF THE INHERENT RISK
GOVERNMENT PROCESSES, RISK MANAGEMENT OF NON-COMPLIANCE WITH RULES, ASSESSMENT, IDENTIFICATION OF REGULATORY REQUIREMENTS, PRESIDES AND CHECKS
GOVERNMENT PROCESSES, RISK MANAGEMENT OF NON-CONFORMITY TO RULES, ASSESSMENT, EVALUATION OF ADEQUACY
GOVERNMENT PROCESSES, RISK MANAGEMENT OF NON-CONFORMITY TO NORMS, MITIGATION AND ACTION PLAN,
GOVERNMENT PROCESSES, RISK MANAGEMENT OF NON-CONFORMITY TO STANDARDS, MONITORING AND TESTING, MONITORING OF PLANNED CORRECTIVE ACTIONS
GOVERNMENT PROCESSES, RISK MANAGEMENT OF NON-COMPLIANCE WITH REGULATIONS, MONITORING AND TESTING, CHECKING EFFECTIVENESS OF IMPLEMENTED PRESIDES
GOVERNMENT PROCESSES, RISK MANAGEMENT OF NON-COMPLIANCE WITH STANDARDS, MONITORING AND TESTING, CONTINUOUS MONITORING ON PRESIDES
GOVERNMENT PROCESSES, RISK MANAGEMENT OF NON-COMPLIANCE WITH STANDARDS, ADVICE,
GOVERNMENT PROCESSES, RISK MANAGEMENT OF NON-COMPLIANCE WITH REGULATIONS, REPORTING,
GOVERNMENT PROCESSES, RISK MANAGEMENT OF NON-COMPLIANCE WITH FISCAL REGULATIONS, IDENTIFICATION, COMPLIANCE FUNCTION
GOVERNMENT PROCESSES, RISK MANAGEMENT OF NON-COMPLIANCE WITH TAX RULES, EVALUATION, TAX FUNCTION
GOVERNMENT PROCESSES, RISK MANAGEMENT OF NON-COMPLIANCE WITH FISCAL REGULATIONS, MONITORING, COMPLIANCE FUNCTION
GOVERNMENT PROCESSES, RISK MANAGEMENT OF NON-COMPLIANCE WITH TAX REGULATIONS, ATTENUATION, TAX FUNCTION
GOVERNMENT PROCESSES, RISK MANAGEMENT OF NON-COMPLIANCE WITH FISCAL REGULATIONS, REPORTING, COMPLIANCE FUNCTION / TAX FUNCTION
GOVERNMENT PROCESSES, MANAGEMENT OF THE RISK OF RECYCLING AND FINANCING OF TERRORISM, IDENTIFICATION OF APPLICABLE LAW,
GOVERNMENT PROCESSES, MANAGEMENT OF THE RISK OF RECYCLING AND FINANCING OF TERRORISM, ASSESSMENT, ASSESSMENT OF THE INERENT RISK
GOVERNMENT PROCESSES, MANAGEMENT OF THE RISK OF RECYCLING AND FINANCING OF TERRORISM, ASSESSMENT, IDENTIFICATION OF REGULATORY REQUIREMENTS, PRESIDES AND CHECKS
GOVERNMENT PROCESSES, MANAGEMENT OF THE RISK OF RECYCLING AND FINANCING OF TERRORISM, ASSESSMENT, EVALUATION OF ADEQUACY
GOVERNMENT PROCESSES, MANAGEMENT OF THE RISK OF RECYCLING AND FINANCING OF TERRORISM, MITIGATION AND ACTION PLAN,
GOVERNMENT PROCESSES, MANAGEMENT OF THE RISK OF RECYCLING AND FINANCING OF TERRORISM, MONITORING AND TESTING, MONITORING OF PLANNED CORRECTIVE ACTIONS
GOVERNMENT PROCESSES, MANAGEMENT OF THE RISK OF RECYCLING AND FINANCING OF TERRORISM, MONITORING AND TESTING, CHECKING EFFECTIVENESS OF THE IMPLEMENTED PRESIDES
GOVERNMENT PROCESSES, MANAGEMENT OF THE RISK OF RECYCLING AND FINANCING OF TERRORISM, MONITORING AND TESTING, CONTINUING MONITORING ON PRESIDES
GOVERNMENT PROCESSES, MANAGEMENT OF THE RISK OF RECYCLING AND FINANCING OF TERRORISM, MONITORING OF TRANSACTIONS, EVALUATION OF FINANCIAL TRANSACTIONS
GOVERNMENT PROCESSES, MANAGEMENT OF THE RISK OF RECYCLING AND FINANCING OF TERRORISM, MONITORING OF OPERATIONS, SIGNALING OF SUSPECTED OPERATIONS
GOVERNMENT PROCESSES, MANAGEMENT OF THE RISK OF RECYCLING AND FINANCING OF TERRORISM, CONSULTING,
GOVERNMENT PROCESSES, MANAGEMENT OF THE RISK OF RECYCLING AND FINANCING OF TERRORISM, REPORTING,
GOVERNMENT PROCESSES, MANAGEMENT OF THE RISK OF INCORRECT FINANCIAL INFORMATION, IDENTIFICATION OF APPLICABLE LAW,
GOVERNMENT PROCESSES, MANAGEMENT OF RISK OF INCIDENTAL FINANCIAL STATEMENT, IDENTIFICATION AND EVALUATION OF RISKS,
GOVERNMENT PROCESSES, RISK MANAGEMENT OF FINANCIAL DISCLOSURE, MITIGATION AND ACTION PLAN, DEFINITION OF ADMINISTRATIVE AND ACCOUNTING PROCEDURES AND RELATED FORMALIZATION
GOVERNMENT PROCESSES, RISK MANAGEMENT OF FINANCIAL DISCLOSURE, MITIGATION AND ACTION PLAN, DEFINITION OF PROCEDURES RELATED TO FINANCIAL COMMUNICATION AND RELATED FORMALIZATION
GOVERNMENT PROCESSES, MANAGEMENT OF FINANCIAL DISCLOSURE, MONITORING AND TESTING RISK, EFFECTIVENESS CHECK OF IMPLEMENTED PRESIDES
GOVERNMENT PROCESSES, RISK MANAGEMENT OF FINANCIAL DISCLOSURE, MONITORING AND TESTING, CONTINUING MONITORING ON PRESIDES
GOVERNMENT PROCESSES, MANAGEMENT OF THE RISK OF INCORRECT FINANCIAL INFORMATION, CONSULTING,
GOVERNMENT PROCESSES, RISK MANAGEMENT OF FINANCIAL DISCLOSURE, REPORTING,
GOVERNMENT PROCESSES, ASSESSMENT OF CORPORATE ACTIVITIES, IDENTIFICATION OF COMPLEX ACTIVITIES,
GOVERNMENT PROCESSES, ASSESSMENT OF CORPORATE ACTIVITIES, ASSESSMENT OF COMPLEX ACTIVITIES, DEFINITION OF THE ASSESSMENT METHODOLOGY OF COMPLEX ASSETS
GOVERNMENT PROCESSES, ASSESSMENT OF COMPANY ACTIVITIES, DETERMINATION OF THE VALUE OF COMPLEX ASSETS
GOVERNMENT PROCESSES, ASSESSMENT OF CORPORATE ACTIVITIES, MONITORING,
GOVERNMENT PROCESSES, ASSESSMENT OF CORPORATE ACTIVITIES, ATTENUATION,
GOVERNMENT PROCESSES, ASSESSMENT OF CORPORATE ACTIVITIES, REPORTING,
GOVERNMENT PROCESSES, MANAGEMENT OF CORPORATE OFFENSES (EX d.lgs 231/01), IDENTIFICATION OF APPLICABLE LAW,
GOVERNMENT PROCESSES, MANAGEMENT OF CORPORATE OFFENSES (EX d.lgs 231/01), ASSESSMENT, ANALYSIS OF OFFENSES AND IDENTIFICATION OF RISK ACTIVITIES
GOVERNMENT PROCESSES, MANAGEMENT OF CORPORATE OFFENSES (EX d.lgs 231/01), ASSESSMENT, IDENTIFICATION OF REGULATORY REQUIREMENTS, PRESIDES AND CHECKS
GOVERNMENT PROCESSES, MANAGEMENT OF CORPORATE OFFENSES (EX d.lgs 231/01), ASSESSMENT, EVALUATION OF ADEQUACY
GOVERNMENT PROCESSES, MANAGEMENT OF CORPORATE OFFENSES (EX d.lgs 231/01), MITIGATION AND ACTION PLAN,
GOVERNMENT PROCESSES, MANAGEMENT OF CORPORATE OFFENSES (EX d.lgs 231/01), MONITORING AND TESTING, MONITORING OF PLANNED CORRECTIVE ACTIONS
GOVERNMENT PROCESSES, MANAGEMENT OF CORPORATE OFFENSES (EX d.lgs 231/01), MONITORING AND TESTING, CHECKING EFFECTIVENESS OF IMPLEMENTED PRESIDES
GOVERNMENT PROCESSES, MANAGEMENT OF CORPORATE OFFENSES (EX d.lgs 231/01), MONITORING AND TESTING, CONTINUOUS MONITORING ON PRESIDES
GOVERNMENT PROCESSES, MANAGEMENT OF CORPORATE OFFENSES (EX d.lgs 231/01), CONSULTING,
GOVERNMENT PROCESSES, MANAGEMENT OF CORPORATE OFFENSES (EX d.lgs 231/01), REPORTING,
GOVERNMENT PROCESSES, MANAGEMENT OF THE SIGNALING OF VIOLATIONS, DEFINITION OF THE MANAGEMENT SYSTEM OF THE REPORTING OF THE VIOLATIONS, IDENTIFICATION OF THE ACTS OR FACTS SUBJECT TO SIGNALING
GOVERNMENT PROCESSES, MANAGEMENT OF THE SIGNALING OF VIOLATIONS, DEFINITION OF THE MANAGEMENT SYSTEM OF THE SIGNALING OF THE VIOLATIONS, DEFINITION OF THE REPORTING METHODS
GOVERNMENT PROCESSES, MANAGEMENT OF THE SIGNALING OF VIOLATIONS, DEFINITION OF THE MANAGEMENT SYSTEM OF THE SIGNALING OF THE VIOLATIONS, IDENTIFICATION OF THE PERSONS PREPOSED FOR THE RECEPTION OF THE SIGNALING
GOVERNMENT PROCESSES, MANAGEMENT OF THE SIGNALING OF VIOLATIONS, DEFINITION OF THE MANAGEMENT SYSTEM OF THE REPORTING OF THE VIOLATIONS, DEFINITION OF THE PROCEDURE THAT IS FOLLOWED BY THE SIGNALING
GOVERNMENT PROCESSES, MANAGEMENT OF THE SIGNALING OF VIOLATIONS, DEFINITION OF THE MANAGEMENT SYSTEM OF THE REPORTING OF THE VIOLATIONS, DEFINITION OF THE METHODS OF INFORMATION OF THE REPORTING PERSON AND OF THE SUBJECT REPORTED ON THE DEVELOPMENTS OF THE PROCEDURE
GOVERNMENT PROCESSES, MANAGEMENT OF THE REPORTING OF VIOLATIONS, RECEPTION OF REPORTS,
GOVERNMENT PROCESSES, MANAGEMENT OF SIGNALING VIOLATIONS, EXAMINATION AND EVALUATION OF THE REPORTS,
GOVERNMENT PROCESSES, MANAGEMENT OF THE REPORTING OF VIOLATIONS, ACTIVATION OF RESOLVING ACTIONS,
BUSINESS PROCESSES, ORDINARY CREDIT, PLANNING AND COMMERCIAL DEVELOPMENT, DIRECT COMMERCIAL DEVELOPMENT
