PROCESSI DI GOVERNO,CONTROLLO DI GESTIONE,DEFINIZIONE MODELLO DI CONTROLLO DI GESTIONE,DEFINIZIONE DELLE GRANDEZZE DA MONITORARE
PROCESSI DI GOVERNO,CONTROLLO DI GESTIONE,DEFINIZIONE MODELLO DI CONTROLLO DI GESTIONE,DEFINIZIONE MODALITA' DI COMUNICAZIONE VERSO LA STRUTTURA INTERNA
PROCESSI DI GOVERNO,CONTROLLO DI GESTIONE,DEFINIZIONE MODELLO DI CONTROLLO DI GESTIONE,DEFINIZIONE REPORTISTICA, CRUSCOTTI E INDICATORI  
PROCESSI DI GOVERNO,CONTROLLO DI GESTIONE,DEFINIZIONE MODELLO DI CONTROLLO DI GESTIONE,ELABORAZIONE DEL MODELLO DI CONTROLLO
PROCESSI DI GOVERNO,CONTROLLO DI GESTIONE,MONITORAGGIO RAGGIUNGIMENTO OBIETTIVI,RACCOLTA E CONSOLIDAMENTO DATI
PROCESSI DI GOVERNO,CONTROLLO DI GESTIONE,MONITORAGGIO RAGGIUNGIMENTO OBIETTIVI,PRODUZIONE REPORTISTICA DI CONTROLLO DI GESTIONE
PROCESSI DI GOVERNO,CONTROLLO DI GESTIONE,MONITORAGGIO RAGGIUNGIMENTO OBIETTIVI,ALIMENTAZIONE CRUSCOTTI DIREZIONALI
PROCESSI DI GOVERNO,CONTROLLO DI GESTIONE,MONITORAGGIO RAGGIUNGIMENTO OBIETTIVI,MONITORAGGIO INDICATORI
PROCESSI DI GOVERNO,CONTROLLO DI GESTIONE,MONITORAGGIO RAGGIUNGIMENTO OBIETTIVI,ANALISI SCOSTAMENTI
PROCESSI DI GOVERNO,CONTROLLO DI GESTIONE,MONITORAGGIO RAGGIUNGIMENTO OBIETTIVI,IDENTIFICAZIONE AZIONI CORRETTIVE
PROCESSI DI GOVERNO,GESTIONE DEI CONTROLLI DI TERZO LIVELLO,IDENTIFICAZIONE DEI PROCESSI DA SOTTOPORRE A REVISIONE E REDAZIONE DELL'AUDIT PLAN,
PROCESSI DI GOVERNO,GESTIONE DEI CONTROLLI DI TERZO LIVELLO,DEFINIZIONE DELLA METODOLOGIA DI VALUTAZIONE DI COMPLETEZZA ED ADEGUATEZZA DEI PROCESSI AZIENDALI,
PROCESSI DI GOVERNO,GESTIONE DEI CONTROLLI DI TERZO LIVELLO,DEFINIZIONE DELLA METODOLOGIA ATTRAVERSO CUI SONO CONDOTTE LE VERIFICHE DI FUNZIONALITA ED AFFIDABILITA DEI PROCESSI AZIENDALI,
PROCESSI DI GOVERNO,GESTIONE DEI CONTROLLI DI TERZO LIVELLO,VALUTAZIONE DELLA COMPLETEZZA E DELL'ADEGUATEZZA DEI PROCESSI AZIENDALI,IDENTIFICAZIONE DEI PROCESSI DA SOTTOPORRE A VALUTAZIONE DI COMPLETEZZA ED ADEGUATEZZA
PROCESSI DI GOVERNO,GESTIONE DEI CONTROLLI DI TERZO LIVELLO,VALUTAZIONE DELLA COMPLETEZZA E DELL'ADEGUATEZZA DEI PROCESSI AZIENDALI,PIANIFICAZIONE DELLE ATTIVITA
PROCESSI DI GOVERNO,GESTIONE DEI CONTROLLI DI TERZO LIVELLO,VALUTAZIONE DELLA COMPLETEZZA E DELL'ADEGUATEZZA DEI PROCESSI AZIENDALI,VALUTAZIONE DI COMPLETEZZA ED ADEGUATEZZA DEI PROCESSI IDENTIFICATI
PROCESSI DI GOVERNO,GESTIONE DEI CONTROLLI DI TERZO LIVELLO,VALUTAZIONE DELLA COMPLETEZZA E DELL'ADEGUATEZZA DEI PROCESSI AZIENDALI,REDAZIONE DELLA RELAZIONE DI SINTESI SUGLI ESITI DELLA VALUTAZIONE E CONDIVISIONE CON LE UNITà ORGANIZZATIVE INTERESSATE (PROCESS OWNER)
PROCESSI DI GOVERNO,GESTIONE DEI CONTROLLI DI TERZO LIVELLO,VALUTAZIONE DELLA COMPLETEZZA E DELL'ADEGUATEZZA DEI PROCESSI AZIENDALI,FOLLOW UP PERIODICO 
PROCESSI DI GOVERNO,GESTIONE DEI CONTROLLI DI TERZO LIVELLO,VERIFICA DELLA FUNZIONALITA E DELL'AFFIDABILITA DEI PROCESSI AZIENDALI,IDENTIFICAZIONE DEI PROCESSI DA SOTTOPORRE A VERIFICA DI FUNZIONAMENTO ED AFFIDABILITA
PROCESSI DI GOVERNO,GESTIONE DEI CONTROLLI DI TERZO LIVELLO,VERIFICA DELLA FUNZIONALITA E DELL'AFFIDABILITA DEI PROCESSI AZIENDALI,PIANIFICAZIONE DELLE ATTIVITA
PROCESSI DI GOVERNO,GESTIONE DEI CONTROLLI DI TERZO LIVELLO,VERIFICA DELLA FUNZIONALITA E DELL'AFFIDABILITA DEI PROCESSI AZIENDALI,VALUTAZIONE DI COMPLETEZZA ED ADEGUATEZZA DEI PROCESSI IDENTIFICATI
PROCESSI DI GOVERNO,GESTIONE DEI CONTROLLI DI TERZO LIVELLO,VERIFICA DELLA FUNZIONALITA E DELL'AFFIDABILITA DEI PROCESSI AZIENDALI,REDAZIONE DELLA RELAZIONE DI SINTESI SUGLI ESITI DELLA VALUTAZIONE E CONDIVISIONE CON LE UNITà ORGANIZZATIVE INTERESSATE (PROCESS OWNER)
PROCESSI DI GOVERNO,GESTIONE DEI CONTROLLI DI TERZO LIVELLO,VERIFICA DELLA FUNZIONALITA E DELL'AFFIDABILITA DEI PROCESSI AZIENDALI,FOLLOW UP PERIODICO 
PROCESSI DI GOVERNO,GESTIONE DEI CONTROLLI DI TERZO LIVELLO,REPORTISTICA SUI CONTROLLI INTERNI ALL'ALTA DIREZIONE,
PROCESSI DI GOVERNO,RELAZIONI ESTERNE,PREDISPOSIZIONE BILANCIO SOCIALE,
PROCESSI DI GOVERNO,RELAZIONI ESTERNE,GESTIONE DELL'IMMAGINE AZIENDALE,
PROCESSI DI GOVERNO,RELAZIONI ESTERNE,ATTIVITA' DI PROMOZIONE ISTITUZIONALE,
PROCESSI DI GOVERNO,GESTIONE INTERNA E COMUNICAZIONE ALL'ESTERNO DI INFORMAZIONI OBBLIGATORIE E/O PRICE SENSITIVE,IDENTIFICAZIONE DELLE INFORMAZIONI RISERVATE E CLASSIFICAZIONE DELLE STESSE COME PRICE SENSITIVE,
PROCESSI DI GOVERNO,GESTIONE INTERNA E COMUNICAZIONE ALL'ESTERNO DI INFORMAZIONI OBBLIGATORIE E/O PRICE SENSITIVE,COMUNICAZIONE DI INFORMAZIONI AL PUBBLICO,COMUNICAZIONE DI INFORMAZIONI OBBLIGATORIE
PROCESSI DI GOVERNO,GESTIONE INTERNA E COMUNICAZIONE ALL'ESTERNO DI INFORMAZIONI OBBLIGATORIE E/O PRICE SENSITIVE,COMUNICAZIONE DI INFORMAZIONI AL PUBBLICO,COMUNICAZIONE DI INFORMAZIONI PRICE SENSITIVE
PROCESSI DI GOVERNO,GESTIONE INTERNA E COMUNICAZIONE ALL'ESTERNO DI INFORMAZIONI OBBLIGATORIE E/O PRICE SENSITIVE,COMUNICAZIONE DI INFORMAZIONI AL PUBBLICO,INCONTRI CON LA COMUNITA FINANZIARIA
PROCESSI DI GOVERNO,GESTIONE INTERNA E COMUNICAZIONE ALL'ESTERNO DI INFORMAZIONI OBBLIGATORIE E/O PRICE SENSITIVE,GESTIONE ACCESSO ALLE INFORMAZIONI PRIVILEGIATE,TRATTAMENTO E CIRCOLAZIONE DELLE INFORMAZIONI RISERVATE
PROCESSI DI GOVERNO,GESTIONE INTERNA E COMUNICAZIONE ALL'ESTERNO DI INFORMAZIONI OBBLIGATORIE E/O PRICE SENSITIVE,GESTIONE ACCESSO ALLE INFORMAZIONI PRIVILEGIATE,GESTIONE DEL MANCATO RISPETTO DELL'OBBLIGO DI RISERVATEZZA
PROCESSI DI GOVERNO,GESTIONE INTERNA E COMUNICAZIONE ALL'ESTERNO DI INFORMAZIONI OBBLIGATORIE E/O PRICE SENSITIVE,GESTIONE ACCESSO ALLE INFORMAZIONI PRIVILEGIATE,GESTIONE DEI RUMORS
PROCESSI DI GOVERNO,COMUNICAZIONE INTERNA,DEFINIZIONE DELLE NECESSITA' INFORMATIVE DELLA STRUTTURA INTERNA,
PROCESSI DI GOVERNO,COMUNICAZIONE INTERNA,GESTIONE STRUMENTI DI COMUNICAZIONE VERSO LA STRUTTURA INTERNA,
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI NON CONFORMITA ALLE NORME,IDENTIFICAZIONE DELLA NORMATIVA APPLICABILE,
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI NON CONFORMITA ALLE NORME,ASSESSMENT,VALUTAZIONE DEL RISCHIO INERENTE
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI NON CONFORMITA ALLE NORME,ASSESSMENT,INDIVIDUAZIONE DEI REQUISITI NORMATIVI, DEI PRESIDI E DEI CONTROLLI
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI NON CONFORMITA ALLE NORME,ASSESSMENT,VALUTAZIONE DI ADEGUATEZZA
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI NON CONFORMITA ALLE NORME,MITIGAZIONE ED ACTION PLAN,
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI NON CONFORMITA ALLE NORME,MONITORAGGIO E TESTING,MONITORAGGIO DELLE AZIONI CORRETTIVE PIANIFICATE
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI NON CONFORMITA ALLE NORME,MONITORAGGIO E TESTING,VERIFICA DI EFFICACIA DEI PRESIDI IMPLEMENTATI
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI NON CONFORMITA ALLE NORME,MONITORAGGIO E TESTING,MONITORAGGIO CONTINUATIVO SUI PRESIDI
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI NON CONFORMITA ALLE NORME,CONSULENZA,
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI NON CONFORMITA ALLE NORME,REPORTING,
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI NON CONFORMITA ALLE NORME FISCALI,IDENTIFICAZIONE,FUNZIONE COMPLIANCE
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI NON CONFORMITA ALLE NORME FISCALI,VALUTAZIONE,FUNZIONE FISCALE
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI NON CONFORMITA ALLE NORME FISCALI,MONITORAGGIO,FUNZIONE COMPLIANCE
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI NON CONFORMITA ALLE NORME FISCALI,ATTENUAZIONE ,FUNZIONE FISCALE
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI NON CONFORMITA ALLE NORME FISCALI,REPORTING,FUNZIONE COMPLIANCE / FUNZIONE FISCALE 
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI RICICLAGGIO E DI FINANZIAMENTO DEL TERRORISMO,IDENTIFICAZIONE DELLA NORMATIVA APPLICABILE,
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI RICICLAGGIO E DI FINANZIAMENTO DEL TERRORISMO,ASSESSMENT,VALUTAZIONE DEL RISCHIO INERENTE
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI RICICLAGGIO E DI FINANZIAMENTO DEL TERRORISMO,ASSESSMENT,INDIVIDUAZIONE DEI REQUISITI NORMATIVI, DEI PRESIDI E DEI CONTROLLI
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI RICICLAGGIO E DI FINANZIAMENTO DEL TERRORISMO,ASSESSMENT,VALUTAZIONE DI ADEGUATEZZA
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI RICICLAGGIO E DI FINANZIAMENTO DEL TERRORISMO,MITIGAZIONE ED ACTION PLAN,
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI RICICLAGGIO E DI FINANZIAMENTO DEL TERRORISMO,MONITORAGGIO E TESTING,MONITORAGGIO DELLE AZIONI CORRETTIVE PIANIFICATE
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI RICICLAGGIO E DI FINANZIAMENTO DEL TERRORISMO,MONITORAGGIO E TESTING,VERIFICA DI EFFICACIA DEI PRESIDI IMPLEMENTATI
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI RICICLAGGIO E DI FINANZIAMENTO DEL TERRORISMO,MONITORAGGIO E TESTING,MONITORAGGIO CONTINUATIVO SUI PRESIDI
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI RICICLAGGIO E DI FINANZIAMENTO DEL TERRORISMO,MONITORAGGIO DELLE OPERAZIONI,VALUTAZIONE OPERAZIONI FINANZIARIE
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI RICICLAGGIO E DI FINANZIAMENTO DEL TERRORISMO,MONITORAGGIO DELLE OPERAZIONI,SEGNALAZIONE OPERAZIONI SOSPETTE
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI RICICLAGGIO E DI FINANZIAMENTO DEL TERRORISMO,CONSULENZA,
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI RICICLAGGIO E DI FINANZIAMENTO DEL TERRORISMO,REPORTING,
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI ERRATA INFORMATIVA FINANZIARIA,IDENTIFICAZIONE DELLA NORMATIVA APPLICABILE,
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI ERRATA INFORMATIVA FINANZIARIA,IDENTIFICAZIONE E VALUTAZIONE DEI RISCHI,
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI ERRATA INFORMATIVA FINANZIARIA,MITIGAZIONE ED ACTION PLAN,DEFINIZIONE DELLE PROCEDURE AMMINISTRATIVE E CONTABILI E RELATIVA FORMALIZZAZIONE
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI ERRATA INFORMATIVA FINANZIARIA,MITIGAZIONE ED ACTION PLAN,DEFINIZIONE DELLE PROCEDURE RELATIVE ALLA COMUNICAZIONE FINANZIARIA E RELATIVA FORMALIZZAZIONE
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI ERRATA INFORMATIVA FINANZIARIA,MONITORAGGIO E TESTING,VERIFICA DI EFFICACIA DEI PRESIDI IMPLEMENTATI
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI ERRATA INFORMATIVA FINANZIARIA,MONITORAGGIO E TESTING,MONITORAGGIO CONTINUATIVO SUI PRESIDI
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI ERRATA INFORMATIVA FINANZIARIA,CONSULENZA,
PROCESSI DI GOVERNO,GESTIONE DEL RISCHIO DI ERRATA INFORMATIVA FINANZIARIA,REPORTING,
PROCESSI DI GOVERNO,VALUTAZIONE DELLE ATTIVITA' AZIENDALI,IDENTIFICAZIONE DELLE ATTIVITA' COMPLESSE,
PROCESSI DI GOVERNO,VALUTAZIONE DELLE ATTIVITA' AZIENDALI,VALUTAZIONE DELLE ATTIVITA' COMPLESSE,DEFINIZIONE DELLA METODOLOGIA DI VALUTAZIONE DELLE ATTIVITA COMPLESSE
PROCESSI DI GOVERNO,VALUTAZIONE DELLE ATTIVITA' AZIENDALI,,DETERMINAZIONE DEL VALORE DELLE ATTIVITA COMPLESSE
PROCESSI DI GOVERNO,VALUTAZIONE DELLE ATTIVITA' AZIENDALI,MONITORAGGIO,
PROCESSI DI GOVERNO,VALUTAZIONE DELLE ATTIVITA' AZIENDALI,ATTENUAZIONE ,
PROCESSI DI GOVERNO,VALUTAZIONE DELLE ATTIVITA' AZIENDALI,REPORTING,
